Date/Time,Building_type,Construction_period,retrofit_scenario,Hot water + Space Heating demand [J](Hourly),Space Heating demand [J](Hourly),Hot water demand [J](Hourly),,Electricity demand [J](Hourly) ,G [W](msquared)
 07/24  07:00:00,SFH,2011-2015,No retrofit,1431697.914,0,1431697.914,26346263.09,8867180.293,210.45
 07/24  08:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,23429574.35,4211252.116,223.26
 07/24  09:00:00,SFH,2011-2015,No retrofit,0,0,0,2146798.824,969985.0368,324.8
 07/24  10:00:00,SFH,2011-2015,No retrofit,0,0,0,7140204.643,969985.0368,428.66
 07/24  11:00:00,SFH,2011-2015,No retrofit,0,0,0,10330278.88,969985.0368,408
 07/24  12:00:00,SFH,2011-2015,No retrofit,0,0,0,12279078.45,969985.0368,454.63
 07/24  13:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,44551952.51,8867180.293,470.39
 07/24  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,39673009.94,4211252.116,403.16
 07/24  15:00:00,SFH,2011-2015,No retrofit,0,0,0,13096168.25,969985.0368,218.41
 07/24  16:00:00,SFH,2011-2015,No retrofit,0,0,0,18423147.16,969985.0368,169.91
 07/24  17:00:00,SFH,2011-2015,No retrofit,0,0,0,17504477.3,969985.0368,101.75
 07/24  18:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,43590545.13,4211252.116,31.24
 07/24  19:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,39037173.13,8867180.293,0
 07/24  20:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,35511094.75,10419156.35,0
